workerid,proliferate.condition,internal_node_id,question_order,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,type,error
49,atir,0.0-0.0,,0,5261,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",5265,0,html-button-response,,
49,atir,0.0-1.0-0.0,,3,7510,4,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",12778,1,html-slider-response,self-rating,
49,atir,0.0-1.0-0.1,,3,10303,4,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,23085,2,html-slider-response,self-rating,
49,atir,0.0-2.0,,0,5081,,<p>We are interested in common knowledge about personal finance. You will see 15 terms related to personal finance. Please rate your knowledge about each term by choosing the appropriate number from <i>1 (never heard of it)</i> to <i>7 (very knowledgeable)</i>.</p>,28169,3,html-button-response,,
49,atir,0.0-3.0-0.0,,2,13273,4,<p>pre-rated stocks</p><br>,41445,4,html-slider-response,finance term,
49,atir,0.0-3.0-0.1,,3,8657,4,<p>fixed-rate deduction</p><br>,50105,5,html-slider-response,finance term,
49,atir,0.0-3.0-0.2,,3,6276,4,<p>annualized credit</p><br>,56384,6,html-slider-response,finance term,
49,atir,0.0-3.0-0.3,,6,5465,4,<p>tax bracket</p><br>,61847,7,html-slider-response,finance term,
49,atir,0.0-3.0-0.4,,5,10840,4,<p>fixed-rate mortgage</p><br>,72690,8,html-slider-response,finance term,
49,atir,0.0-3.0-0.5,,2,6502,4,<p>home equity</p><br>,79195,9,html-slider-response,finance term,
49,atir,0.0-3.0-0.6,,2,5351,4,<p>revolving credit</p><br>,84549,10,html-slider-response,finance term,
49,atir,0.0-3.0-0.7,,1,4989,4,<p>vesting</p><br>,89543,11,html-slider-response,finance term,
49,atir,0.0-3.0-0.8,,6,5780,4,<p>retirement</p><br>,95328,12,html-slider-response,finance term,
49,atir,0.0-3.0-0.9,,2,10297,4,<p>stock options</p><br>,105630,13,html-slider-response,finance term,
49,atir,0.0-3.0-0.10,,5,4748,4,<p>inflation</p><br>,110381,14,html-slider-response,finance term,
49,atir,0.0-3.0-0.11,,2,5687,4,<p>private equity fund</p><br>,116070,15,html-slider-response,finance term,
49,atir,0.0-3.0-0.12,,5,3958,4,<p>interest rate</p><br>,120031,16,html-slider-response,finance term,
49,atir,0.0-3.0-0.13,,5,4585,4,<p>Roth IRA</p><br>,124619,17,html-slider-response,finance term,
49,atir,0.0-3.0-0.14,,1,5535,4,<p>whole life insurance</p><br>,130156,18,html-slider-response,finance term,
49,atir,0.0-4.0,"[0, 1, 2, 3, 4]","{'stocks': ""Don't know"", 'interest': ""Don't know"", 'mortgage': ""Don't know"", 'inflation': 'Less', 'savingsAccount': 'More than $102'}",58113,,,188277,19,survey-multi-choice,FLquiz,
49,atir,0.0-5.0,,0,2939,,"<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people's level of financial knowledge and self-reported financial knowledge relate to whether people's level of over-claiming, or their likelihood of saying they know what some made-up terms mean.</p><h1>Press continue to be redirected to Prolific. </h1>",191225,20,html-button-response,,
38,atir,0.0-0.0,,0,1967,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",1970,0,html-button-response,,
38,atir,0.0-1.0-0.0,,4,11883,4,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",13856,1,html-slider-response,self-rating,
38,atir,0.0-1.0-0.1,,5,5286,4,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,19145,2,html-slider-response,self-rating,
38,atir,0.0-2.0,,0,5965,,<p>We are interested in common knowledge about personal finance. You will see 15 terms related to personal finance. Please rate your knowledge about each term by choosing the appropriate number from <i>1 (never heard of it)</i> to <i>7 (very knowledgeable)</i>.</p>,25111,3,html-button-response,,
38,atir,0.0-3.0-0.0,,1,3503,4,<p>pre-rated stocks</p><br>,28616,4,html-slider-response,finance term,
38,atir,0.0-3.0-0.1,,1,2317,4,<p>fixed-rate deduction</p><br>,30936,5,html-slider-response,finance term,
38,atir,0.0-3.0-0.2,,3,9754,4,<p>annualized credit</p><br>,40692,6,html-slider-response,finance term,
38,atir,0.0-3.0-0.3,,7,3328,4,<p>tax bracket</p><br>,44022,7,html-slider-response,finance term,
38,atir,0.0-3.0-0.4,,3,4716,4,<p>fixed-rate mortgage</p><br>,48740,8,html-slider-response,finance term,
38,atir,0.0-3.0-0.5,,5,3072,4,<p>home equity</p><br>,51815,9,html-slider-response,finance term,
38,atir,0.0-3.0-0.6,,6,2847,4,<p>revolving credit</p><br>,54663,10,html-slider-response,finance term,
38,atir,0.0-3.0-0.7,,1,3303,4,<p>vesting</p><br>,57968,11,html-slider-response,finance term,
38,atir,0.0-3.0-0.8,,7,2710,4,<p>retirement</p><br>,60679,12,html-slider-response,finance term,
38,atir,0.0-3.0-0.9,,6,3223,4,<p>stock options</p><br>,63904,13,html-slider-response,finance term,
38,atir,0.0-3.0-0.10,,7,2318,4,<p>inflation</p><br>,66224,14,html-slider-response,finance term,
38,atir,0.0-3.0-0.11,,5,3237,4,<p>private equity fund</p><br>,69463,15,html-slider-response,finance term,
38,atir,0.0-3.0-0.12,,7,3279,4,<p>interest rate</p><br>,72744,16,html-slider-response,finance term,
38,atir,0.0-3.0-0.13,,6,4013,4,<p>Roth IRA</p><br>,76760,17,html-slider-response,finance term,
38,atir,0.0-3.0-0.14,,3,4159,4,<p>whole life insurance</p><br>,80920,18,html-slider-response,finance term,
38,atir,0.0-4.0,"[0, 1, 2, 3, 4]","{'stocks': 'False', 'interest': 'Rise', 'mortgage': 'True', 'inflation': 'Less', 'savingsAccount': 'More than $102'}",78812,,,159734,19,survey-multi-choice,FLquiz,
38,atir,0.0-5.0,,0,4078,,"<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people's level of financial knowledge and self-reported financial knowledge relate to whether people's level of over-claiming, or their likelihood of saying they know what some made-up terms mean.</p><h1>Press continue to be redirected to Prolific. </h1>",163815,20,html-button-response,,
