,game_id,role,round_num,rule_idx,hits,misses,correct_rejections,false_alarms,score
0,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,0,32,1,10,35,4,0
1,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,0,32,2,9,31,8,0
2,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,1,2,21,3,26,0,21
3,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,1,2,22,2,26,0,22
4,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,2,22,21,0,29,0,21
5,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,2,22,21,0,29,0,21
6,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,3,42,6,17,22,5,1
7,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,3,42,4,19,22,5,0
8,8029-23ce2010-d3fb-4ace-988e-39214734a122,explorer,4,12,9,1,24,16,0
9,8029-23ce2010-d3fb-4ace-988e-39214734a122,student,4,12,7,3,22,18,0
10,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,0,35,5,18,22,5,0
11,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,student,0,35,2,21,27,0,2
12,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,1,5,14,2,34,0,14
13,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,student,1,5,16,0,34,0,16
14,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,2,45,13,0,37,0,13
15,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,student,2,45,0,13,36,1,0
16,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,3,25,0,16,31,3,0
17,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,student,3,25,0,16,31,3,0
18,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,explorer,4,15,6,1,43,0,6
19,2748-d7b45954-988c-4082-b6c4-2d92067ec2c3,student,4,15,6,1,43,0,6
20,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,0,6,27,0,23,0,27
21,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,0,6,27,0,23,0,27
22,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,1,26,38,0,12,0,38
23,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,1,26,37,1,12,0,37
24,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,2,36,26,3,21,0,26
25,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,2,36,25,4,21,0,25
26,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,3,46,24,0,26,0,24
27,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,3,46,24,0,26,0,24
28,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,student,4,16,8,0,40,2,6
29,1238-0ae11de8-a557-4d5a-83c0-504fd7db0166,explorer,4,16,8,0,40,2,6
