workerid,proliferate.condition,internal_node_id,item_type,response,rt,slider_start,stimulus,time_elapsed,trial_index,trial_type,vignette,error
329,Jordan,0.0-0.0,,0,6944,,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",6946,0,html-button-response,,
329,Jordan,0.0-1.0,,0,2671,,"<p> In this experiment, you will read 4 short stories and answer questions about them. </p>",9618,1,html-button-response,,
329,Jordan,0.0-2.0-0.0,honest,0,28007,,"<p>Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided. Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided, but that he sometimes does it anyway. Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.</p><br>",37625,2,html-button-response,printing,
329,Jordan,0.0-3.0-0.0,trustworthy,23,4159,50,<p>How <b>trustworthy</b> do you think Kevin is?</p><br>,41786,3,html-slider-response,printing,
329,Jordan,0.0-3.0-0.1,honest,23,2559,50,<p>How <b>honest</b> do you think Kevin is?<p><br>,44345,4,html-slider-response,printing,
329,Jordan,0.0-3.0-0.2,like,8,2223,50,<p>How much do you <b>like</b> Kevin?</p><br>,46570,5,html-slider-response,printing,
329,Jordan,0.0-3.0-0.3,good,6,3223,50,<p>How <b>good a person</b> do you think Kevin is?</p><br>,49793,6,html-slider-response,printing,
329,Jordan,0.0-3.0-0.4,hypocritical,83,3415,50,<p>How <b>hypocritical</b> do you think Kevin is?</p><br>,53209,7,html-slider-response,printing,
329,Jordan,0.0-4.0-0.0,honest,0,20079,,"<p>Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet. Becky says that she thinks it is morally wrong to download music illegally from the Internet, but that she sometimes does it anyway. Shortly after their conversation, Becky goes online, and downloads music illegally.</p><br>",73289,8,html-button-response,music,
329,Jordan,0.0-5.0-0.0,good,71,2591,50,<p>How <b>good a person</b> do you think Becky is?</p><br>,75881,9,html-slider-response,music,
329,Jordan,0.0-5.0-0.1,trustworthy,41,2231,50,<p>How <b>trustworthy</b> do you think Becky is?</p><br>,78113,10,html-slider-response,music,
329,Jordan,0.0-5.0-0.2,like,90,2415,50,<p>How much do you <b>like</b> Becky?</p><br>,80529,11,html-slider-response,music,
329,Jordan,0.0-5.0-0.3,honest,66,3255,50,<p>How <b>honest</b> do you think Becky is?</p><br>,83785,12,html-slider-response,music,
329,Jordan,0.0-5.0-0.4,hypocritical,57,2263,50,<p>How <b>hypocritical</b> do you think Becky is?</p><br>,86049,13,html-slider-response,music,
329,Jordan,0.0-6.0-0.0,honest,0,25695,,"<p>Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls. Bruce says that he thinks it is morally wrong to ignore your mother's phone calls, but that he sometimes does it anyway. Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.</p><br>",111746,14,html-button-response,phone,
329,Jordan,0.0-7.0-0.0,hypocritical,93,2799,50,<p>How <b>hypocritical</b> do you think Bruce is?</p><br>,114545,15,html-slider-response,phone,
329,Jordan,0.0-7.0-0.1,trustworthy,29,1760,50,<p>How <b>trustworthy</b> do you think Bruce is?</p><br>,116306,16,html-slider-response,phone,
329,Jordan,0.0-7.0-0.2,good,57,1631,50,<p>How <b>good a person</b> do you think Bruce is?</p><br>,117937,17,html-slider-response,phone,
329,Jordan,0.0-7.0-0.3,honest,79,2607,50,<p>How <b>honest</b> do you think Bruce is?</p><br>,120545,18,html-slider-response,phone,
329,Jordan,0.0-7.0-0.4,like,15,1863,50,<p>How much do you <b>like</b> Bruce?</p><br>,122409,19,html-slider-response,phone,
329,Jordan,0.0-8.0-0.0,honest,0,19720,,"<p>Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty. Jennifer says that she thinks it is morally wrong to try to get out of jury duty, but that she sometimes does it anyway. Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.</p><br>",142129,20,html-button-response,jury,
329,Jordan,0.0-9.0-0.0,hypocritical,69,1647,50,<p>How <b>hypocritical</b> do you think Jennifer is?</p><br>,143777,21,html-slider-response,jury,
329,Jordan,0.0-9.0-0.1,like,87,2455,50,<p>How much do you <b>like</b> Jennifer?</p><br>,146233,22,html-slider-response,jury,
329,Jordan,0.0-9.0-0.2,good,35,1792,50,<p>How <b>good a person</b> do you think Jennifer is?</p><br>,148026,23,html-slider-response,jury,
329,Jordan,0.0-9.0-0.3,honest,60,1823,50,<p>How <b>honest</b> do you think Jennifer is?</p><br>,149849,24,html-slider-response,jury,
329,Jordan,0.0-9.0-0.4,trustworthy,23,1479,50,<p>How <b>trustworthy</b> do you think Jennifer is?</p><br>,151329,25,html-slider-response,jury,
329,Jordan,0.0-10.0,,0,7383,,<h1>End of the experiment.</h1><h2>Many thanks for participating!</h2><p>This experiment was about how people judge hypocrites and hypocrites who admit to being hypocritical compared to people who are not hypocritical.</p><h1>Press continue to be redirected to Prolific. </h1>,158713,26,html-button-response,,
