workerid,intensity,approach,rt,stimulus,trial_index
175,high,distract,2497,iaps/3180h.JPG,41
175,low,reappraise,2928,iaps/9120l.JPG,44
175,high,reappraise,2318,iaps/3230h.JPG,47
175,high,distract,2058,iaps/9252h.jpg,50
175,high,distract,1925,iaps/9181h.jpg,53
175,low,reappraise,2041,iaps/9102l.JPG,56
175,high,distract,2328,iaps/3140h.JPG,59
175,low,reappraise,1940,iaps/2691l.jpg,62
175,low,distract,4423,iaps/9440l.JPG,65
175,low,reappraise,1590,iaps/1301l.jpg,68
175,high,reappraise,1583,iaps/2053h.JPG,71
175,high,reappraise,2589,iaps/3530h.JPG,74
175,high,distract,1708,iaps/3068h.jpg,77
175,high,distract,2012,iaps/9410h.JPG,80
175,low,reappraise,2044,iaps/9470l.jpg,83
175,low,reappraise,1860,iaps/6190l.JPG,86
175,high,distract,1791,iaps/9420h.JPG,89
175,high,distract,1688,iaps/6831h.jpg,92
175,low,distract,6528,iaps/6836l.jpg,95
175,low,reappraise,2155,iaps/7360l.JPG,98
175,low,reappraise,1661,iaps/2278l.jpg,101
175,low,reappraise,1578,iaps/9160l.JPG,104
175,low,reappraise,1596,iaps/2312l.jpg,107
175,high,distract,1834,iaps/2800h.JPG,110
175,low,reappraise,1692,iaps/2700l.JPG,113
175,low,reappraise,2232,iaps/6010l.JPG,116
175,high,distract,1827,iaps/3150h.JPG,119
175,high,distract,4172,iaps/3000h.JPG,122
175,low,reappraise,1519,iaps/2490l.JPG,125
175,high,distract,1534,iaps/3261h.jpg,128
677,low,reappraise,1864,iaps/2691l.jpg,41
677,high,distract,1977,iaps/3140h.JPG,44
677,high,distract,2494,iaps/9420h.JPG,47
677,low,reappraise,1881,iaps/2278l.jpg,50
677,high,distract,5923,iaps/3180h.JPG,53
677,low,reappraise,2700,iaps/9160l.JPG,56
677,high,distract,1701,iaps/3150h.JPG,59
677,low,reappraise,3415,iaps/6010l.JPG,62
677,low,reappraise,2506,iaps/9120l.JPG,65
677,high,distract,7884,iaps/3530h.JPG,68
677,high,distract,2206,iaps/3261h.jpg,71
677,high,distract,4461,iaps/3230h.JPG,74
677,low,reappraise,3154,iaps/9102l.JPG,77
677,low,reappraise,2215,iaps/1301l.jpg,80
677,high,distract,2642,iaps/9181h.jpg,83
677,high,distract,1946,iaps/3000h.JPG,86
677,low,distract,4729,iaps/9470l.jpg,89
677,low,reappraise,1960,iaps/6836l.jpg,92
677,low,reappraise,4636,iaps/7360l.JPG,95
677,low,reappraise,3206,iaps/9440l.JPG,98
677,high,distract,2123,iaps/3068h.jpg,101
677,low,reappraise,6057,iaps/6190l.JPG,104
677,high,reappraise,3822,iaps/2800h.JPG,107
677,high,reappraise,2701,iaps/9252h.jpg,110
677,high,distract,3647,iaps/9410h.JPG,113
677,high,distract,2709,iaps/2053h.JPG,116
677,low,reappraise,2608,iaps/2700l.JPG,119
677,low,reappraise,5205,iaps/2312l.jpg,122
677,low,reappraise,1820,iaps/2490l.JPG,125
677,high,reappraise,5146,iaps/6831h.jpg,128
671,low,reappraise,2215,iaps/2691l.jpg,41
671,low,distract,2560,iaps/7360l.JPG,44
671,low,reappraise,2742,iaps/6010l.JPG,47
671,low,reappraise,1807,iaps/9440l.JPG,50
671,high,reappraise,1676,iaps/3180h.JPG,53
671,high,distract,1443,iaps/2053h.JPG,56
671,low,distract,1677,iaps/6836l.jpg,59
671,high,distract,2742,iaps/3000h.JPG,62
671,high,distract,1259,iaps/9252h.jpg,65
671,low,reappraise,1559,iaps/9160l.JPG,68
671,high,distract,1626,iaps/3261h.jpg,71
671,low,reappraise,2159,iaps/2312l.jpg,74
671,low,distract,2210,iaps/2278l.jpg,77
671,high,distract,1425,iaps/3140h.JPG,80
671,high,distract,1343,iaps/9181h.jpg,83
671,low,reappraise,1776,iaps/6190l.JPG,86
671,high,distract,2425,iaps/3068h.jpg,89
671,high,distract,3374,iaps/2800h.JPG,92
671,low,reappraise,1424,iaps/2490l.JPG,95
671,low,reappraise,1260,iaps/9120l.JPG,98
671,low,reappraise,5808,iaps/1301l.jpg,101
671,high,reappraise,1925,iaps/3150h.JPG,104
671,low,distract,9660,iaps/2700l.JPG,107
671,high,distract,2596,iaps/3230h.JPG,110
671,low,reappraise,2657,iaps/9470l.jpg,113
671,high,reappraise,2359,iaps/9410h.JPG,116
671,high,distract,4294,iaps/3530h.JPG,119
671,high,distract,2207,iaps/9420h.JPG,122
671,low,reappraise,1843,iaps/9102l.JPG,125
671,high,distract,2393,iaps/6831h.jpg,128
744,low,distract,79411,iaps/6010l.JPG,41
744,high,reappraise,3015,iaps/6831h.jpg,44
744,high,distract,2541,iaps/9181h.jpg,47
744,high,distract,2118,iaps/9420h.JPG,50
744,low,distract,43679,iaps/9470l.jpg,53
744,low,distract,1700,iaps/6190l.JPG,56
744,low,reappraise,2379,iaps/9102l.JPG,59
744,high,distract,2110,iaps/9410h.JPG,62
744,high,distract,1592,iaps/3180h.JPG,65
744,low,reappraise,1528,iaps/1301l.jpg,68
744,low,distract,1406,iaps/2700l.JPG,71
744,low,distract,19623,iaps/6836l.jpg,74
744,high,reappraise,2602,iaps/3230h.JPG,77
744,high,distract,2602,iaps/3000h.JPG,80
744,low,distract,1769,iaps/9440l.JPG,83
744,low,reappraise,2031,iaps/9160l.JPG,86
744,high,distract,1935,iaps/3530h.JPG,89
744,high,reappraise,1478,iaps/3140h.JPG,92
744,low,distract,1126,iaps/2490l.JPG,95
744,low,reappraise,1333,iaps/7360l.JPG,98
744,low,distract,1245,iaps/2278l.jpg,101
744,high,reappraise,1827,iaps/9252h.jpg,104
744,low,distract,1505,iaps/2312l.jpg,107
744,low,reappraise,1259,iaps/2691l.jpg,110
744,high,distract,1149,iaps/2800h.JPG,113
744,high,distract,1679,iaps/3261h.jpg,116
744,high,distract,1230,iaps/3068h.jpg,119
744,high,reappraise,1965,iaps/2053h.JPG,122
744,high,distract,1566,iaps/3150h.JPG,125
744,low,distract,5167,iaps/9120l.JPG,128
700,low,reappraise,2303,iaps/7360l.JPG,41
700,high,distract,2322,iaps/9181h.jpg,44
700,low,distract,2383,iaps/9440l.JPG,47
700,high,distract,2406,iaps/3140h.JPG,50
700,low,reappraise,2421,iaps/9470l.jpg,53
700,low,reappraise,2527,iaps/2700l.JPG,56
700,low,distract,7771,iaps/6836l.jpg,59
700,low,distract,5389,iaps/6190l.JPG,62
700,low,reappraise,5730,iaps/9102l.JPG,65
700,high,reappraise,3016,iaps/3180h.JPG,68
700,low,distract,2437,iaps/9120l.JPG,71
700,high,distract,2941,iaps/9252h.jpg,74
700,low,reappraise,2721,iaps/1301l.jpg,77
700,low,reappraise,3085,iaps/2312l.jpg,80
700,high,distract,3190,iaps/9410h.JPG,83
700,low,reappraise,2801,iaps/2278l.jpg,86
700,high,distract,3907,iaps/2053h.JPG,89
700,high,distract,2666,iaps/3000h.JPG,92
700,high,reappraise,2301,iaps/6831h.jpg,95
700,high,distract,2643,iaps/9420h.JPG,98
700,low,reappraise,2203,iaps/2490l.JPG,101
700,high,distract,2636,iaps/3530h.JPG,104
700,low,reappraise,2967,iaps/6010l.JPG,107
700,high,distract,2446,iaps/3068h.jpg,110
700,low,distract,3097,iaps/9160l.JPG,113
700,high,distract,2586,iaps/2800h.JPG,116
700,low,reappraise,2510,iaps/2691l.jpg,119
700,high,distract,2541,iaps/3261h.jpg,122
700,high,distract,2691,iaps/3230h.JPG,125
700,high,distract,2660,iaps/3150h.JPG,128
686,low,reappraise,2503,iaps/1301l.jpg,41
686,low,distract,3150,iaps/9440l.JPG,44
686,high,reappraise,1765,iaps/2053h.JPG,47
686,low,reappraise,2577,iaps/7360l.JPG,50
686,high,reappraise,3798,iaps/3230h.JPG,53
686,high,distract,7899,iaps/3180h.JPG,56
686,high,distract,2477,iaps/9420h.JPG,59
686,high,distract,2035,iaps/6831h.jpg,62
686,low,reappraise,3864,iaps/2312l.jpg,65
686,low,distract,4275,iaps/9120l.JPG,68
686,high,distract,1968,iaps/2800h.JPG,71
686,low,reappraise,1754,iaps/6190l.JPG,74
686,low,distract,3823,iaps/2490l.JPG,77
686,high,distract,2232,iaps/9252h.jpg,80
686,low,reappraise,1992,iaps/9470l.jpg,83
686,low,reappraise,1969,iaps/2691l.jpg,86
686,high,distract,2791,iaps/3140h.JPG,89
686,high,distract,1515,iaps/9410h.JPG,92
686,high,distract,3700,iaps/3068h.jpg,95
686,high,distract,2310,iaps/3000h.JPG,98
686,high,distract,2402,iaps/3261h.jpg,101
686,high,reappraise,1705,iaps/9181h.jpg,104
686,high,distract,2246,iaps/3530h.JPG,107
686,low,reappraise,2776,iaps/2278l.jpg,110
686,low,reappraise,2197,iaps/6010l.JPG,113
686,high,distract,2547,iaps/3150h.JPG,116
686,low,reappraise,1934,iaps/9102l.JPG,119
686,low,reappraise,1697,iaps/2700l.JPG,122
686,low,reappraise,2700,iaps/9160l.JPG,125
686,low,reappraise,7848,iaps/6836l.jpg,128
699,low,reappraise,2054,iaps/6836l.jpg,41
699,low,reappraise,2222,iaps/2278l.jpg,44
699,low,distract,1905,iaps/9102l.JPG,47
699,low,distract,1742,iaps/9470l.jpg,50
699,low,reappraise,2273,iaps/9120l.JPG,53
699,low,reappraise,2763,iaps/6190l.JPG,56
699,high,distract,1541,iaps/3000h.JPG,59
699,low,reappraise,2123,iaps/7360l.JPG,62
699,high,distract,2112,iaps/3180h.JPG,65
699,high,distract,1644,iaps/9181h.jpg,68
699,low,distract,3055,iaps/9440l.JPG,71
699,low,reappraise,2046,iaps/2700l.JPG,74
699,high,distract,1826,iaps/9410h.JPG,77
699,high,distract,1629,iaps/2800h.JPG,80
699,high,distract,1743,iaps/3068h.jpg,83
699,high,distract,1790,iaps/3140h.JPG,86
699,high,distract,1941,iaps/3230h.JPG,89
699,high,distract,1631,iaps/3261h.jpg,92
699,low,distract,1856,iaps/1301l.jpg,95
699,low,reappraise,2072,iaps/2691l.jpg,98
699,high,reappraise,1890,iaps/6831h.jpg,101
699,high,distract,1959,iaps/9252h.jpg,104
699,low,reappraise,5043,iaps/6010l.JPG,107
699,high,reappraise,2207,iaps/3530h.JPG,110
699,high,distract,1756,iaps/3150h.JPG,113
699,high,distract,1588,iaps/9420h.JPG,116
699,low,reappraise,1971,iaps/9160l.JPG,119
699,high,distract,1992,iaps/2053h.JPG,122
699,low,reappraise,1989,iaps/2490l.JPG,125
699,low,reappraise,1621,iaps/2312l.jpg,128
708,low,reappraise,3400,iaps/2490l.JPG,41
708,low,distract,2952,iaps/6836l.jpg,44
708,high,reappraise,6675,iaps/3261h.jpg,47
708,high,reappraise,5228,iaps/2053h.JPG,50
708,high,distract,2995,iaps/9181h.jpg,53
708,high,reappraise,5647,iaps/9420h.JPG,56
708,high,distract,3825,iaps/3000h.JPG,59
708,high,distract,3482,iaps/3150h.JPG,62
708,low,reappraise,2807,iaps/2312l.jpg,65
708,high,reappraise,5392,iaps/3230h.JPG,68
708,low,distract,30005,iaps/9102l.JPG,71
708,low,reappraise,4404,iaps/9470l.jpg,74
708,low,distract,2358,iaps/9160l.JPG,77
708,high,reappraise,2381,iaps/6831h.jpg,80
708,low,distract,2278,iaps/9120l.JPG,83
708,low,distract,2376,iaps/9440l.JPG,86
