workerid,proliferate.condition,failed_audio,failed_images,failed_video,internal_node_id,response,rt,stimulus,subject,success,time_elapsed,timeout,trial_index,trial_type,error
175,Sheppes,[],[],[],0.0-0.0,,,,25495,True,4,False,0,preload,
175,Sheppes,,,,0.0-1.0,0,12269,"<p> By answering the following questions, you are participating in a study being performed as part of a class by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at vero.boyce@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any information about you other than what you provide here.</p>",25495,,12274,,1,html-button-response,
175,Sheppes,,,,0.0-2.0, ,9259,"<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing.</b></p><p>Your participation will take approximately 10 minutes. You will receive $2.00 as payment for your participation. <b>You must use a desktop or a laptop computer to complete this study. </b> By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at <u>stanfordpsych251@gmail.com</u>. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </p><p>Press the spacebar to begin.</p></center>",25495,,21534,,2,html-keyboard-response,
175,Sheppes,,,,0.0-3.0, ,9329,"<center><p>In this part of the study, you will view a series of pictures and try to change how you feel about each picture by changing the way you think about it. Some pictures might make you feel very negative, while other pictures might make you feel slightly negative or not negative at all. You will be able to choose between two ways or strategies that will help you feel less negative. The next section will explain both strategies and give you the opportunity to practice implementing them. It is important that you try to remember what you are supposed to do in each strategy.</p><p>Press the spacebar to continue.</p></center>",25495,,30864,,3,html-keyboard-response,
175,Sheppes,,,,0.0-4.0, ,21612,"<center><p>The first strategy is called REAPPRAISAL. This means that you attend to the picture and try to change the meaning of it. That means you think of something to tell yourself about the picture that helps you feel less negative about it. For example, you could tell yourself something about the outcome of the picture, that whatever is going on will soon be resolved, or that help is on the way. You could also focus on a specific detail of the situation that may not be as bad as it first seemed. But we want you to stay focused on the picture and not think of random things that will make you feel better, but rather to change something about the picture that helps you to feel less negative about it. It is very important that when you reappraise you do not think that the picture is fake or a scene from a movie. Think of it as a real situation, and then change the meaning of it. <b>Once again, as soon as the picture is on the screen, keep focusing on the picture, but tell yourself something about it that makes you feel less negative; keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>",25495,,52477,,4,html-keyboard-response,
175,Sheppes,,,,0.0-5.0, ,4633,"<center><p>Now you are going to practice using reappraisal. Once the picture comes up on the screen, please immediately start focusing your thoughts with the goal of feeling less negative, <b>Focus on the picture but think of the meaning of the picture in a way that will help you feel less negative about it.</b></p><p>Press the spacebar to continue</p></center>",25495,,57110,,5,html-keyboard-response,
175,Sheppes,,,,0.0-6.0-0.0,"{'Q0': 'I tried to think of the causes that made this picture true, and when doing so I could think of a few positive things in it. Those man, despite everything, are fighting for something they believe is right, and in that context, such braveness is positive.'}",126075,,25495,,183191,,6,survey-text,
175,Sheppes,,,,0.0-6.0-1.0, ,11409,"<center><p>Just to give you more ideas, other people thought that they are fighting for their families, they are protecting their country, they stand together for an important goal, their families will be proud of them.</p><p><b>Remember, as soon as the picture is on the screen, keep focusing on the picture but tell yourself something about it that makes you feel less negative, until it disappears from the screen.</b></p><p>Press the spacebar to continue</p></center>",25495,,194600,,7,html-keyboard-response,
175,Sheppes,,,,0.0-6.0-2.0,"{'Q0': 'Despite the kid crying, he looks healthy and maybe his parents are just teaching him some kind of lesson.'}",58998,,25495,,253600,,8,survey-text,
175,Sheppes,,,,0.0-7.0, ,28307,"<center><p>The second strategy is called DISTRACTION. This means that you try your best to feel less negative about the picture by thinking of something that is completely unrelated to the picture. There are a few ways you can do this. First, you can think about geometric shapes. For instance, if you see a bloody knife, you can think of a big yellow triangle. Second, you can imagine yourself doing everyday tasks, such as taking a shower or making coffee in the morning. Third, you can imagine your neighborhood or other familiar streets. You could use any one of these ways to distract yourself, which you think will work best in making you feel less negative. You do not have to use the same method to distract all the time. <b>However, it is important that you keep your eyes on the picture and not avert your gaze. As soon as the picture is on the screen, start focusing all of your thoughts on something that is completely unrelated to the picture. Once you have come up with a way to feel less negative, keep repeating it to yourself while the screen is up.</b></p><p>Press the spacebar to continue</p></center>",25495,,281908,,9,html-keyboard-response,
