workerid,intensity,approach,rt,stimulus,trial_index
29,low,reappraise,2095,iaps/2490l.JPG,41
29,high,distract,1818,iaps/3150h.JPG,44
29,high,distract,3747,iaps/3068h.jpg,47
29,high,distract,2584,iaps/3000h.JPG,50
29,high,reappraise,1838,iaps/9181h.jpg,53
29,high,reappraise,3542,iaps/3180h.JPG,56
29,low,reappraise,2894,iaps/9102l.JPG,59
29,low,distract,2171,iaps/6836l.jpg,62
29,low,reappraise,3830,iaps/6010l.JPG,65
29,low,reappraise,3152,iaps/2691l.jpg,68
29,low,reappraise,3415,iaps/9470l.jpg,71
29,high,distract,2013,iaps/3140h.JPG,74
29,high,distract,4363,iaps/9420h.JPG,77
29,low,reappraise,2863,iaps/9120l.JPG,80
29,low,reappraise,3249,iaps/9440l.JPG,83
29,low,reappraise,2959,iaps/7360l.JPG,86
29,high,distract,3931,iaps/6831h.jpg,89
29,low,reappraise,2291,iaps/2700l.JPG,92
29,low,reappraise,1899,iaps/2278l.jpg,95
29,high,distract,3685,iaps/3261h.jpg,98
29,low,reappraise,2599,iaps/1301l.jpg,101
29,high,distract,3552,iaps/9252h.jpg,104
29,low,reappraise,3468,iaps/6190l.JPG,107
29,high,reappraise,2320,iaps/3230h.JPG,110
29,low,reappraise,1940,iaps/2312l.jpg,113
29,high,distract,2554,iaps/2800h.JPG,116
29,low,reappraise,2211,iaps/9160l.JPG,119
29,high,distract,3419,iaps/9410h.JPG,122
29,high,reappraise,3444,iaps/3530h.JPG,125
29,high,reappraise,2856,iaps/2053h.JPG,128
23,high,distract,2110,iaps/3140h.JPG,41
23,high,distract,2068,iaps/9252h.jpg,44
23,high,distract,3211,iaps/9181h.jpg,47
23,high,distract,4055,iaps/6831h.jpg,50
23,low,reappraise,4043,iaps/9470l.jpg,53
23,low,reappraise,2219,iaps/7360l.JPG,56
23,low,distract,3347,iaps/9120l.JPG,59
23,low,reappraise,1576,iaps/1301l.jpg,62
23,high,distract,1401,iaps/3000h.JPG,65
23,low,reappraise,2631,iaps/2691l.jpg,68
23,low,reappraise,1726,iaps/2312l.jpg,71
23,high,distract,1378,iaps/9420h.JPG,74
23,low,reappraise,1472,iaps/2490l.JPG,77
23,low,reappraise,1979,iaps/9440l.JPG,80
23,high,reappraise,1889,iaps/3180h.JPG,83
23,low,distract,6836,iaps/6010l.JPG,86
23,high,distract,849,iaps/9410h.JPG,89
23,low,distract,2076,iaps/6190l.JPG,92
23,high,distract,975,iaps/2053h.JPG,95
23,high,distract,1403,iaps/3230h.JPG,98
23,high,distract,783,iaps/2800h.JPG,101
23,low,reappraise,1449,iaps/2700l.JPG,104
23,low,reappraise,2184,iaps/6836l.jpg,107
23,high,distract,759,iaps/3261h.jpg,110
23,high,distract,794,iaps/3150h.JPG,113
23,low,distract,1221,iaps/9160l.JPG,116
23,high,distract,850,iaps/3530h.JPG,119
23,high,distract,736,iaps/3068h.jpg,122
23,low,reappraise,1705,iaps/2278l.jpg,125
23,low,distract,773,iaps/9102l.JPG,128
27,low,distract,6852,iaps/9440l.JPG,41
27,low,reappraise,2372,iaps/1301l.jpg,44
27,low,reappraise,2588,iaps/2700l.JPG,47
27,high,reappraise,2224,iaps/9410h.JPG,50
27,low,reappraise,1608,iaps/9120l.JPG,53
27,low,distract,3302,iaps/9102l.JPG,56
27,low,distract,1754,iaps/6836l.jpg,59
27,high,distract,12917,iaps/9252h.jpg,62
27,high,reappraise,1587,iaps/2053h.JPG,65
27,high,reappraise,2638,iaps/3261h.jpg,68
27,high,reappraise,2969,iaps/3180h.JPG,71
27,low,distract,5037,iaps/6190l.JPG,74
27,high,distract,2440,iaps/3230h.JPG,77
27,low,reappraise,1957,iaps/6010l.JPG,80
27,high,distract,3092,iaps/3000h.JPG,83
27,high,reappraise,4037,iaps/2800h.JPG,86
27,high,distract,4156,iaps/3140h.JPG,89
27,high,distract,1587,iaps/3068h.jpg,92
27,low,reappraise,2256,iaps/9160l.JPG,95
27,high,distract,1841,iaps/9420h.JPG,98
27,low,reappraise,1738,iaps/2490l.JPG,101
27,low,reappraise,2021,iaps/7360l.JPG,104
27,high,distract,2002,iaps/3150h.JPG,107
27,low,distract,4718,iaps/2312l.jpg,110
27,low,reappraise,1966,iaps/2691l.jpg,113
27,high,distract,1890,iaps/3530h.JPG,116
27,high,reappraise,1790,iaps/9181h.jpg,119
27,low,distract,3073,iaps/9470l.jpg,122
27,high,distract,2053,iaps/6831h.jpg,125
27,low,reappraise,2639,iaps/2278l.jpg,128
