StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,Consent,Z3.CaTy.Uq,Z3.ExTy.Uq,z3.CaTo.Uq,z3.ExTo.Uq,Z4.Ty.CF,z4.To.CF,d3.CaTy.Uq,d3.ExTy.Uq,d3.CaTo.UQ,d3.ExTo.UQ,d4.Ty.CF,d4.To.CF,g3.CaTy.Uq,g3.ExTy.Uq,g3.CaTo.Uq,g3.ExTo.Uq,g4.Ty.CF,g4.To.CF,y3.CaTy.Uq,y3.ExTy.Uq,y3.CaTo.Uq,y3.ExTo.Uq,y4.Ty.CF,y4.To.CF,Mch.z1,Mch.z2,Mch.d1,Mch.d2,Mch.g1,Mch.g2,Mch.y1,Mch.y2,cov.1,cov.2,CommOwn,Comments,Age,Gender,task,moderator,tableorder
2024-02-22,2024-02-22 11:44:08,3,2024-02-22 11:44:09,R_3zjOt6T0MgQ571E,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:44:22,6,2024-02-22 11:44:22,R_1OK2MJ8vzZdkCLr,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:50:44,401,2024-02-22 11:50:46,R_4bZONNTQF0hxMs4,2,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,6,1,2,4,1,1,1,1,2,1,1,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,1
2024-02-22,2024-02-22 11:51:39,455,2024-02-22 11:51:40,R_7thrKpuJPDcFHgt,2,NA,NA,5,NA,NA,2,NA,NA,6,NA,NA,4,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,3,3,3,3,1,2,2,3,1,3,4,bc thats qhat i understand,no,23,female,ca.to.uq,drolyuyu,1
2024-02-22,2024-02-22 11:52:17,470,2024-02-22 11:52:18,R_6m7rGzSJoMOixtx,2,NA,3,NA,NA,3,NA,NA,5,NA,NA,5,NA,NA,6,NA,NA,3,NA,NA,5,NA,NA,6,NA,4,1,4,1,1,4,1,4,3,1,NA,NA,23,Masculine,ex.ty.uq,zelmogrimond,2
2024-02-22,2024-02-22 11:54:11,11,2024-02-22 11:54:11,R_2fwTUbbmcVCerkz,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:54:51,630,2024-02-22 11:54:51,R_1DtOoLnNJASrijX,2,1,NA,NA,NA,4,NA,6,NA,NA,NA,7,NA,1,NA,NA,NA,1,NA,5,NA,NA,NA,6,NA,1,1,1,1,1,1,1,1,1,1,I evaluated the data sheet and decided upon a fitting rating for what the data showed.,N/A,20,Male,ca.ty.uq,zelmogrimond,2
2024-02-22,2024-02-22 11:56:29,49,2024-02-22 11:56:29,R_7fDaj9LRw9OP2nN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-02-22,2024-02-22 11:58:47,886,2024-02-22 11:58:47,R_11uvUne2KZTKm73,2,NA,NA,6,NA,NA,2,NA,NA,5,NA,NA,3,NA,NA,5,NA,NA,3,NA,NA,3,NA,NA,3,1,1,1,1,1,1,1,1,4,1,It was the most realistic option can never be 100% sure of the reason of things unless more tests were done,no,23,Female,ca.to.uq,drolyuyu,2
2024-02-22,2024-02-22 11:59:19,914,2024-02-22 11:59:19,R_7VdN8mraFgowYYN,2,NA,NA,NA,6,NA,6,NA,NA,NA,4,NA,3,NA,NA,NA,6,NA,7,NA,NA,NA,4,NA,4,1,1,1,1,1,1,1,1,1,1,"Except of ""strongly agree"" i wasn't sure of my answers.",NA,22,Female,ex.to.uq,drolyuyu,2
2024-02-22,2024-02-22 12:01:52,451,2024-02-22 12:01:53,R_1qrnMtWdUZxfSd3,2,NA,NA,NA,4,NA,4,NA,NA,NA,5,NA,5,NA,NA,NA,4,NA,4,NA,NA,NA,5,NA,6,1,1,2,1,2,1,1,1,1,1,because the statistical information in the tables suggests those ratings could be true,NA,34,male,ex.to.uq,zelmogrimond,2
2024-02-22,2024-02-22 12:03:28,555,2024-02-22 12:03:29,R_1i8TwzgWvcDTvcB,2,3,NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,3,NA,NA,NA,6,NA,3,NA,NA,NA,5,NA,4,1,4,1,3,1,1,1,3,4,The data ended up being somewhat similar in every case,NA,23,Female,ca.ty.uq,zelmogrimond,1
2024-02-22,2024-02-22 12:03:34,558,2024-02-22 12:03:34,R_6yJfn7bXKV6dqhz,2,6,NA,NA,NA,6,NA,5,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,5,NA,NA,NA,6,NA,1,1,1,1,1,1,1,1,1,1,most tables did or did not show a result but I never gave them a score 7 on the scale as probably more research needs to be done to rule out all possibilites f,NA,25,female,ca.ty.uq,drolyuyu,1
2024-02-22,2024-02-22 12:05:11,668,2024-02-22 12:05:12,R_7NH0HBT7rAdsgDv,2,NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,4,NA,NA,NA,5,NA,5,NA,NA,NA,5,NA,4,1,1,1,1,1,1,1,1,1,1,There was always a chance that these organisms would develop a certain thing even if they didn't eat something/were exposed to something. We therefore can't confidently say that something caused something in those organisms. This caused my answers to be very mild,no,22,female,ex.to.uq,drolyuyu,2
