id,CommOwn,Comments,Age,Gender,task,moderator,question_type,rating,presence_of_moderator,causalexplanatoryCF,typetoken
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Z3.CaTy.Uq,NA,present,causal,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Z3.ExTy.Uq,NA,present,explanatory,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,z3.CaTo.Uq,5,present,causal,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,z3.ExTo.Uq,NA,present,explanatory,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,Z4.Ty.CF,NA,present,counterfactual,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,z4.To.CF,5,present,counterfactual,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,d3.CaTy.Uq,NA,absent,causal,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,d3.ExTy.Uq,NA,absent,explanatory,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,d3.CaTo.UQ,7,absent,causal,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,d3.ExTo.UQ,NA,absent,explanatory,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,d4.Ty.CF,NA,absent,counterfactual,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,d4.To.CF,7,absent,counterfactual,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,g3.CaTy.Uq,NA,present,causal,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,g3.ExTy.Uq,NA,present,explanatory,type
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,g3.CaTo.Uq,5,present,causal,token
3,Just the feeling i got from reading the information provided,NA,29,Male,ca.to.uq,zelmogrimond,g3.ExTo.Uq,NA,present,explanatory,token
