id,CommOwn,Comments,Age,Gender,task,moderator,question_type,rating,presence_of_moderator,causalexplanatoryCF,typetoken
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Z3.CaTy.Uq,NA,present,causal,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Z3.ExTy.Uq,NA,present,explanatory,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,z3.CaTo.Uq,NA,present,causal,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,z3.ExTo.Uq,5,present,explanatory,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Z4.Ty.CF,NA,present,counterfactual,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,z4.To.CF,2,present,counterfactual,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,d3.CaTy.Uq,NA,absent,causal,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,d3.ExTy.Uq,NA,absent,explanatory,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,d3.CaTo.UQ,NA,absent,causal,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,d3.ExTo.UQ,4,absent,explanatory,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,d4.Ty.CF,NA,absent,counterfactual,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,d4.To.CF,4,absent,counterfactual,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,g3.CaTy.Uq,NA,present,causal,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,g3.ExTy.Uq,NA,present,explanatory,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,g3.CaTo.Uq,NA,present,causal,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,g3.ExTo.Uq,5,present,explanatory,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,g4.Ty.CF,NA,present,counterfactual,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,g4.To.CF,4,present,counterfactual,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,y3.CaTy.Uq,NA,absent,causal,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,y3.ExTy.Uq,NA,absent,explanatory,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,y3.CaTo.Uq,NA,absent,causal,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,y3.ExTo.Uq,5,absent,explanatory,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,y4.Ty.CF,NA,absent,counterfactual,type
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,y4.To.CF,1,absent,counterfactual,token
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.z1,1,absent,NA,NA
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.z2,1,absent,NA,NA
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.d1,1,absent,NA,NA
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.d2,4,absent,NA,NA
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.g1,1,absent,NA,NA
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.g2,1,absent,NA,NA
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.y1,2,absent,NA,NA
1,Blajfdasdgh;l,NA,NA,NA,ex.to.uq,zelmogrimond,Mch.y2,1,absent,NA,NA
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,Z3.CaTy.Uq,NA,present,causal,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,Z3.ExTy.Uq,4,present,explanatory,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,z3.CaTo.Uq,NA,present,causal,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,z3.ExTo.Uq,NA,present,explanatory,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,Z4.Ty.CF,1,present,counterfactual,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,z4.To.CF,NA,present,counterfactual,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,d3.CaTy.Uq,NA,absent,causal,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,d3.ExTy.Uq,4,absent,explanatory,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,d3.CaTo.UQ,NA,absent,causal,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,d3.ExTo.UQ,NA,absent,explanatory,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,d4.Ty.CF,3,absent,counterfactual,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,d4.To.CF,NA,absent,counterfactual,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,g3.CaTy.Uq,NA,present,causal,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,g3.ExTy.Uq,1,present,explanatory,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,g3.CaTo.Uq,NA,present,causal,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,g3.ExTo.Uq,NA,present,explanatory,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,g4.Ty.CF,2,present,counterfactual,type
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,g4.To.CF,NA,present,counterfactual,token
2,NA,NA,NA,NA,ex.ty.uq,zelmogrimond,y3.CaTy.Uq,NA,absent,causal,type
